person_id_random,currentDate,loanStartDatesFirst,loanPaidDatesLast,payoffDays,paidOff,paidOffDuring30
7346661357,2015-08-19,2015-03-03,,169.0,0,1
9468184407,2015-08-19,2015-07-21,2015-08-15,25.0,1,0
2990883566,2015-08-19,2014-12-29,,233.0,0,1
2320175519,2015-08-19,2015-05-08,2015-05-26,18.0,1,0
5330295937,2015-08-19,2014-05-23,2014-06-08,16.0,1,0
7629417453,2015-08-19,2015-06-02,,78.0,0,1
5594363895,2015-08-19,2015-07-20,,30.0,0,0
5935455253,2015-08-19,2015-02-28,2015-03-14,14.0,1,0
5254531566,2015-08-19,2015-03-17,2015-04-07,21.0,1,0
8230219163,2015-08-19,2015-05-29,2015-06-08,10.0,1,0
3152634654,2015-08-19,2015-07-17,2015-08-07,21.0,1,0
7598871262,2015-08-19,2015-04-09,2015-04-27,18.0,1,0
5781556178,2015-08-19,2015-07-28,2015-08-12,15.0,1,0
8834809018,2015-08-19,2015-04-14,,127.0,0,1
7442299181,2015-08-19,2015-03-25,2015-04-08,14.0,1,0
7076340710,2015-08-19,2015-03-31,2015-06-10,71.0,1,1
5843534196,2015-08-19,2015-05-30,2015-06-03,4.0,1,0
5563120467,2015-08-19,2014-06-09,,436.0,0,1
3225694348,2015-08-19,2014-08-18,2014-09-10,23.0,1,0
1389690912,2015-08-19,2015-04-12,2015-05-04,22.0,1,0
9148351638,2015-08-19,2015-04-25,,116.0,0,1
1784191842,2015-08-19,2015-03-29,2015-05-05,37.0,1,1
4239791639,2015-08-19,2014-05-07,2014-05-27,20.0,1,0
8634554863,2015-08-19,2015-04-15,2015-04-21,6.0,1,0
7228483529,2015-08-19,2015-05-30,2015-06-05,6.0,1,0
1660359942,2015-08-19,2015-06-23,2015-07-05,12.0,1,0
4850039402,2015-08-19,2015-03-29,2015-04-03,5.0,1,0
3418297468,2015-08-19,2015-07-05,,45.0,0,1
2174427212,2015-08-19,2015-06-21,2015-06-29,8.0,1,0
2562664921,2015-08-19,2015-04-22,2015-04-26,4.0,1,0
7064844459,2015-08-19,2015-06-23,2015-07-17,24.0,1,0
1112017768,2015-08-19,2015-05-28,,83.0,0,1
3079511469,2015-08-19,2015-04-26,,115.0,0,1
5781022158,2015-08-19,2014-12-20,,242.0,0,1
1853627736,2015-08-19,2015-05-27,2015-06-17,21.0,1,0
8401108350,2015-08-19,2015-07-22,,28.0,0,0
7035285544,2015-08-19,2015-06-02,2015-06-12,10.0,1,0
2893571939,2015-08-19,2015-06-05,2015-06-15,10.0,1,0
7371265289,2015-08-19,2015-04-09,2015-04-16,7.0,1,0
1775406254,2015-08-19,2014-09-22,,331.0,0,1
4509848841,2015-08-19,2015-03-11,2015-03-27,16.0,1,0
9013261149,2015-08-19,2015-05-29,2015-06-05,7.0,1,0
9500422035,2015-08-19,2015-06-19,2015-07-12,23.0,1,0
8710405577,2015-08-19,2015-06-16,,64.0,0,1
3988203332,2015-08-19,2015-06-09,2015-06-15,6.0,1,0
8387614970,2015-08-19,2015-05-21,2015-06-09,19.0,1,0
6526183719,2015-08-19,2014-07-17,,398.0,0,1
5331332312,2015-08-19,2015-02-11,2015-03-04,21.0,1,0
8540590529,2015-08-19,2014-10-16,2014-11-15,30.0,1,0
3540597152,2015-08-19,2015-07-10,,40.0,0,1
6620932848,2015-08-19,2014-09-21,,332.0,0,1
1795159548,2015-08-19,2015-07-17,,33.0,0,1
6872355869,2015-08-19,2015-04-25,2015-04-26,1.0,1,0
4756053552,2015-08-19,2015-07-24,2015-08-14,21.0,1,0
2372935146,2015-08-19,2015-04-03,2015-04-11,8.0,1,0
2287514871,2015-08-19,2014-05-03,2014-05-24,21.0,1,0
2358807840,2015-08-19,2014-06-17,,428.0,0,1
7318322753,2015-08-19,2015-03-27,,145.0,0,1
6562772473,2015-08-19,2015-05-19,,92.0,0,1
8017301815,2015-08-19,2015-07-18,2015-08-09,22.0,1,0
6540024121,2015-08-19,2015-06-13,2015-06-21,8.0,1,0
1463175554,2015-08-19,2015-03-19,2015-04-10,22.0,1,0
9443631847,2015-08-19,2015-04-02,2015-04-09,7.0,1,0
8392403933,2015-08-19,2014-10-02,2014-10-16,14.0,1,0
3686319819,2015-08-19,2015-07-08,2015-07-13,5.0,1,0
3818103704,2015-08-19,2015-03-30,2015-04-05,6.0,1,0
5804388965,2015-08-19,2015-03-29,2015-04-15,17.0,1,0
5815782196,2015-08-19,2014-12-11,,251.0,0,1
1288086652,2015-08-19,2015-07-08,2015-07-14,6.0,1,0
5048210603,2015-08-19,2015-02-28,,172.0,0,1
4792563816,2015-08-19,2015-05-29,2015-06-09,11.0,1,0
6374813065,2015-08-19,2015-07-02,2015-07-14,12.0,1,0
6687103750,2015-08-19,2015-01-21,2015-02-04,14.0,1,0
6491386882,2015-08-19,2015-03-19,2015-04-09,21.0,1,0
9973267281,2015-08-19,2015-03-23,2015-04-10,18.0,1,0
4042825054,2015-08-19,2015-04-27,2015-05-02,5.0,1,0
6917193248,2015-08-19,2015-03-17,2015-04-07,21.0,1,0
3752805269,2015-08-19,2015-06-27,2015-07-17,20.0,1,0
5903857819,2015-08-19,2015-01-29,,202.0,0,1
5570008040,2015-08-19,2015-07-15,2015-07-20,5.0,1,0
2612671805,2015-08-19,2014-10-24,,299.0,0,1
4746602099,2015-08-19,2015-07-24,2015-08-13,20.0,1,0
1733220813,2015-08-19,2015-07-14,2015-08-04,21.0,1,0
5377931105,2015-08-19,2014-06-16,2014-07-07,21.0,1,0
5826558835,2015-08-19,2014-09-27,2014-10-04,7.0,1,0
6177775040,2015-08-19,2015-03-27,,145.0,0,1
7419788148,2015-08-19,2014-12-06,,256.0,0,1
3764746080,2015-08-19,2014-07-29,2014-08-19,21.0,1,0
2436738636,2015-08-19,2015-05-25,,86.0,0,1
1616151767,2015-08-19,2015-04-03,,138.0,0,1
5449485614,2015-08-19,2015-03-28,2015-04-04,7.0,1,0
7472748908,2015-08-19,2015-04-20,2015-05-03,13.0,1,0
3785558347,2015-08-19,2015-06-22,2015-07-05,13.0,1,0
9677770426,2015-08-19,2015-03-03,2015-03-12,9.0,1,0
3483024126,2015-08-19,2015-07-25,2015-08-12,18.0,1,0
1743432522,2015-08-19,2015-03-30,2015-04-10,11.0,1,0
5898120995,2015-08-19,2015-06-10,2015-06-17,7.0,1,0
5120292396,2015-08-19,2014-11-04,,288.0,0,1
9808214543,2015-08-19,2015-04-10,,131.0,0,1
2571797067,2015-08-19,2015-07-14,2015-08-08,25.0,1,0
4342241928,2015-08-19,2014-05-15,,461.0,0,1
5574393088,2015-08-19,2015-05-11,2015-05-16,5.0,1,0
9045211188,2015-08-19,2015-07-02,2015-07-03,1.0,1,0
9255169851,2015-08-19,2015-07-04,2015-07-21,17.0,1,0
7930805770,2015-08-19,2014-12-18,,244.0,0,1
8714622022,2015-08-19,2015-05-19,2015-06-10,22.0,1,0
3744930975,2015-08-19,2015-01-08,,223.0,0,1
8450552497,2015-08-19,2015-03-09,2015-03-30,21.0,1,0
3054378668,2015-08-19,2015-06-16,2015-06-23,7.0,1,0
6507014956,2015-08-19,2015-04-02,2015-04-13,11.0,1,0
6055146943,2015-08-19,2015-04-09,,132.0,0,1
1978413484,2015-08-19,2014-06-12,2014-07-03,21.0,1,0
7258285849,2015-08-19,2014-12-16,2015-01-05,20.0,1,0
1998097878,2015-08-19,2015-03-24,2015-04-14,21.0,1,0
6768500803,2015-08-19,2015-07-27,2015-08-04,8.0,1,0
1921206894,2015-08-19,2015-06-26,2015-07-18,22.0,1,0
2669649960,2015-08-19,2014-05-27,,449.0,0,1
8155541862,2015-08-19,2015-04-16,2015-04-30,14.0,1,0
3080908054,2015-08-19,2015-04-01,2015-04-21,20.0,1,0
9367555536,2015-08-19,2015-06-20,,60.0,0,1
9984848342,2015-08-19,2015-06-22,2015-07-13,21.0,1,0
8993973315,2015-08-19,2015-07-16,2015-07-17,1.0,1,0
7389317375,2015-08-19,2015-05-31,2015-06-05,5.0,1,0
3561640239,2015-08-19,2015-05-06,,105.0,0,1
9754677030,2015-08-19,2015-04-09,2015-04-28,19.0,1,0
4951166708,2015-08-19,2015-03-29,2015-04-16,18.0,1,0
7549961913,2015-08-19,2014-10-30,,293.0,0,1
2151915927,2015-08-19,2015-07-10,2015-07-25,15.0,1,0
3585535472,2015-08-19,2014-05-07,2014-06-03,27.0,1,0
3517910470,2015-08-19,2015-05-22,,89.0,0,1
5115392371,2015-08-19,2015-05-06,2015-05-27,21.0,1,0
5174506041,2015-08-19,2015-06-29,2015-07-20,21.0,1,0
1197328073,2015-08-19,2015-07-18,2015-08-08,21.0,1,0
4002742728,2015-08-19,2014-08-18,2014-08-25,7.0,1,0
5816669626,2015-08-19,2015-05-07,2015-05-20,13.0,1,0
8251050249,2015-08-19,2015-07-11,2015-07-30,19.0,1,0
7640935498,2015-08-19,2014-07-24,2014-09-04,42.0,1,1
5657424461,2015-08-19,2015-04-11,2015-04-18,7.0,1,0
2567699254,2015-08-19,2015-05-11,2015-05-26,15.0,1,0
8100109588,2015-08-19,2015-07-19,,31.0,0,1
2373167024,2015-08-19,2015-06-09,2015-06-30,21.0,1,0
6166787811,2015-08-19,2015-07-14,,36.0,0,1
5799676461,2015-08-19,2014-06-03,2014-07-31,58.0,1,1
4906074010,2015-08-19,2015-06-29,2015-07-15,16.0,1,0
1355461896,2015-08-19,2015-06-20,2015-07-08,18.0,1,0
2003808034,2015-08-19,2015-06-12,2015-06-30,18.0,1,0
1817487983,2015-08-19,2014-05-21,2014-06-11,21.0,1,0
7430130268,2015-08-19,2015-02-28,2015-03-09,9.0,1,0
7470733511,2015-08-19,2015-04-03,2015-04-20,17.0,1,0
3565083094,2015-08-19,2014-08-29,,355.0,0,1
8389868976,2015-08-19,2015-03-14,2015-04-02,19.0,1,0
4020568831,2015-08-19,2015-02-23,2015-03-12,17.0,1,0
1183321030,2015-08-19,2014-06-16,2014-07-02,16.0,1,0
7378814827,2015-08-19,2014-10-01,2014-10-20,19.0,1,0
3380009999,2015-08-19,2015-07-01,2015-07-31,30.0,1,0
2776111859,2015-08-19,2015-06-18,2015-07-02,14.0,1,0
1314735035,2015-08-19,2015-07-17,2015-08-09,23.0,1,0
4002692992,2015-08-19,2015-06-01,2015-06-09,8.0,1,0
7822001133,2015-08-19,2015-07-20,2015-07-28,8.0,1,0
1676546225,2015-08-19,2015-07-06,,44.0,0,1
9513977406,2015-08-19,2014-08-28,,356.0,0,1
3670141772,2015-08-19,2014-05-20,2014-05-30,10.0,1,0
7366844365,2015-08-19,2015-05-15,,96.0,0,1
3061012163,2015-08-19,2015-07-09,2015-07-30,21.0,1,0
1497166208,2015-08-19,2015-03-29,2015-04-17,19.0,1,0
9889040447,2015-08-19,2015-07-27,,23.0,0,0
2016018499,2015-08-19,2015-04-27,,114.0,0,1
4110112364,2015-08-19,2015-07-04,2015-07-25,21.0,1,0
4656062708,2015-08-19,2014-04-22,2014-04-22,0.0,1,0
7961977516,2015-08-19,2015-03-31,,141.0,0,1
3219677874,2015-08-19,2014-09-07,,346.0,0,1
1006266651,2015-08-19,2015-07-22,,28.0,0,0
3596771176,2015-08-19,2015-06-21,2015-06-28,7.0,1,0
5741429746,2015-08-19,2015-03-27,2015-04-02,6.0,1,0
1516706338,2015-08-19,2014-08-29,,355.0,0,1
8638580379,2015-08-19,2015-07-15,2015-08-03,19.0,1,0
8000018034,2015-08-19,2015-05-29,2015-06-12,14.0,1,0
7303163256,2015-08-19,2015-04-03,2015-04-14,11.0,1,0
1670455912,2015-08-19,2015-05-30,2015-06-12,13.0,1,0
7020135676,2015-08-19,2015-06-29,2015-07-06,7.0,1,0
7581223009,2015-08-19,2015-07-08,2015-07-29,21.0,1,0
7088580488,2015-08-19,2015-07-18,2015-08-09,22.0,1,0
3743259894,2015-08-19,2015-07-22,2015-08-07,16.0,1,0
9366636131,2015-08-19,2015-06-15,2015-06-27,12.0,1,0
7777374938,2015-08-19,2014-06-08,2014-07-07,29.0,1,0
3401108129,2015-08-19,2014-12-24,,238.0,0,1
8716883625,2015-08-19,2015-05-29,2015-06-15,17.0,1,0
4097229256,2015-08-19,2015-02-10,2015-03-03,21.0,1,0
6033880411,2015-08-19,2015-01-26,2015-02-13,18.0,1,0
1777949145,2015-08-19,2015-05-29,2015-06-05,7.0,1,0
4738098277,2015-08-19,2015-03-29,2015-04-16,18.0,1,0
8057731840,2015-08-19,2014-07-23,,392.0,0,1
1299427536,2015-08-19,2014-07-23,2014-09-03,42.0,1,1
7585759305,2015-08-19,2014-09-11,,342.0,0,1
4581264233,2015-08-19,2015-04-02,,139.0,0,1
1272813046,2015-08-19,2015-02-10,2015-03-03,21.0,1,0
9745064088,2015-08-19,2015-05-02,2015-06-06,35.0,1,1
5682976418,2015-08-19,2015-05-14,2015-06-04,21.0,1,0
2398603694,2015-08-19,2015-05-25,2015-06-10,16.0,1,0
3010231585,2015-08-19,2015-07-09,2015-07-22,13.0,1,0
5085179989,2015-08-19,2014-10-02,2014-10-15,13.0,1,0
6015554652,2015-08-19,2015-05-20,2015-05-27,7.0,1,0
4461208066,2015-08-19,2015-07-28,2015-08-11,14.0,1,0
3252413480,2015-08-19,2015-02-22,2015-03-13,19.0,1,0
2151054057,2015-08-19,2014-10-10,2014-10-28,18.0,1,0
6224726229,2015-08-19,2015-03-19,,153.0,0,1
5945488348,2015-08-19,2015-03-15,2015-04-03,19.0,1,0
8946883110,2015-08-19,2015-04-13,2015-05-20,37.0,1,1
1615532287,2015-08-19,2015-06-13,2015-06-16,3.0,1,0
6768006410,2015-08-19,2015-01-26,2015-02-15,20.0,1,0
4811992520,2015-08-19,2015-03-19,,153.0,0,1
3624329372,2015-08-19,2014-08-29,,355.0,0,1
1280507511,2015-08-19,2014-10-01,,322.0,0,1
2033348143,2015-08-19,2015-04-30,,111.0,0,1
5217601507,2015-08-19,2015-07-10,2015-07-30,20.0,1,0
9453964086,2015-08-19,2014-07-21,,394.0,0,1
5511930733,2015-08-19,2015-07-24,2015-07-29,5.0,1,0
7268198319,2015-08-19,2015-07-14,2015-08-15,32.0,1,1
6268509017,2015-08-19,2014-09-23,2014-10-17,24.0,1,0
7502458411,2015-08-19,2015-04-22,2015-05-12,20.0,1,0
4740365226,2015-08-19,2015-03-31,2015-04-13,13.0,1,0
8550857009,2015-08-19,2015-06-16,2015-07-07,21.0,1,0
5312329083,2015-08-19,2015-07-29,2015-08-12,14.0,1,0
3321063881,2015-08-19,2015-03-17,2015-04-02,16.0,1,0
8609804338,2015-08-19,2015-07-17,2015-08-04,18.0,1,0
5988618720,2015-08-19,2015-03-09,2015-03-27,18.0,1,0
2648460353,2015-08-19,2015-04-09,2015-04-14,5.0,1,0
1648126910,2015-08-19,2015-07-21,,29.0,0,0
2345287133,2015-08-19,2015-07-26,2015-08-12,17.0,1,0
5359782636,2015-08-19,2015-03-25,2015-05-03,39.0,1,1
8053556486,2015-08-19,2015-06-29,2015-07-20,21.0,1,0
4493372220,2015-08-19,2015-03-01,2015-03-11,10.0,1,0
8126857977,2015-08-19,2015-05-22,2015-06-10,19.0,1,0
4792942529,2015-08-19,2015-04-16,2015-04-23,7.0,1,0
2704294846,2015-08-19,2015-06-24,2015-07-03,9.0,1,0
9594494228,2015-08-19,2015-07-14,2015-07-27,13.0,1,0
4949206686,2015-08-19,2015-03-11,2015-03-23,12.0,1,0
9804175165,2015-08-19,2015-02-15,2015-02-19,4.0,1,0
4847988237,2015-08-19,2015-06-09,2015-06-12,3.0,1,0
5559702426,2015-08-19,2015-06-10,2015-04-07,-64.0,1,0
3738922495,2015-08-19,2015-06-09,2015-06-13,4.0,1,0
9193097824,2015-08-19,2014-08-27,,357.0,0,1
4116829921,2015-08-19,2015-05-16,2015-05-23,7.0,1,0
7624836270,2015-08-19,2015-07-20,2015-08-10,21.0,1,0
7125219495,2015-08-19,2014-07-09,,406.0,0,1
7177006216,2015-08-19,2014-06-13,,432.0,0,1
6108121189,2015-08-19,2015-04-03,2015-04-27,24.0,1,0
9851390076,2015-08-19,2015-07-04,2015-07-24,20.0,1,0
3023340127,2015-08-19,2015-06-14,2015-07-04,20.0,1,0
5476885599,2015-08-19,2014-11-06,,286.0,0,1
1838116247,2015-08-19,2015-03-28,2015-04-13,16.0,1,0
4228136505,2015-08-19,2015-05-22,2015-05-28,6.0,1,0
4881579468,2015-08-19,2015-05-07,,104.0,0,1
1316512614,2015-08-19,2014-08-25,,359.0,0,1
4191686819,2015-08-19,2015-03-19,2015-04-13,25.0,1,0
9923610654,2015-08-19,2015-03-30,2015-04-06,7.0,1,0
8484461796,2015-08-19,2015-05-27,2015-06-09,13.0,1,0
8237091184,2015-08-19,2015-07-23,2015-07-30,7.0,1,0
1801624265,2015-08-19,2015-05-20,,91.0,0,1
3805746294,2015-08-19,2015-07-22,,28.0,0,0
7386434289,2015-08-19,2014-12-24,,238.0,0,1
5213679097,2015-08-19,2015-07-28,,22.0,0,0
4387253723,2015-08-19,2015-07-21,,29.0,0,0
8362192538,2015-08-19,2014-08-07,,377.0,0,1
9523062306,2015-08-19,2015-03-12,,160.0,0,1
2535099359,2015-08-19,2014-05-16,,460.0,0,1
8719891162,2015-08-19,2014-08-14,2014-10-14,61.0,1,1
4716039696,2015-08-19,2015-07-19,2015-08-05,17.0,1,0
8763192932,2015-08-19,2014-08-13,,371.0,0,1
8150642238,2015-08-19,2015-03-29,2015-04-20,22.0,1,0
6207451939,2015-08-19,2015-04-01,2015-04-21,20.0,1,0
8476099889,2015-08-19,2015-03-02,2015-03-20,18.0,1,0
3282108906,2015-08-19,2015-05-16,2015-06-06,21.0,1,0
8171435807,2015-08-19,2015-03-04,,168.0,0,1
6640166679,2015-08-19,2015-07-29,2015-08-13,15.0,1,0
4429479218,2015-08-19,2015-04-12,2015-05-03,21.0,1,0
2412688377,2015-08-19,2015-06-20,,60.0,0,1
5747178338,2015-08-19,2015-02-16,2015-03-09,21.0,1,0
8594242129,2015-08-19,2015-07-25,2015-08-13,19.0,1,0
6617821797,2015-08-19,2015-05-30,2015-06-01,2.0,1,0
3778121349,2015-08-19,2015-05-28,,83.0,0,1
7331238292,2015-08-19,2015-04-27,2015-05-09,12.0,1,0
3331565180,2015-08-19,2015-05-29,2015-06-15,17.0,1,0
6094242225,2015-08-19,2015-07-27,,23.0,0,0
7743920692,2015-08-19,2015-07-02,2015-07-16,14.0,1,0
6430736429,2015-08-19,2015-07-13,2015-07-30,17.0,1,0
5511522687,2015-08-19,2015-03-22,2015-04-04,13.0,1,0
7614759494,2015-08-19,2015-07-19,,31.0,0,1
2662659101,2015-08-19,2014-08-13,,371.0,0,1
6127719079,2015-08-19,2015-05-04,2015-05-06,2.0,1,0
9254134796,2015-08-19,2015-06-21,2015-07-15,24.0,1,0
1661126978,2015-08-19,2015-07-10,2015-07-31,21.0,1,0
4198273826,2015-08-19,2014-11-24,,268.0,0,1
3602567513,2015-08-19,2015-04-26,2015-05-06,10.0,1,0
7493785209,2015-08-19,2015-03-19,2015-04-06,18.0,1,0
9149555649,2015-08-19,2015-02-20,2015-03-06,14.0,1,0
2696051892,2015-08-19,2015-07-19,2015-08-02,14.0,1,0
7289370646,2015-08-19,2015-06-01,2015-06-23,22.0,1,0
4724843699,2015-08-19,2015-07-17,2015-08-07,21.0,1,0
5665931957,2015-08-19,2015-06-16,2015-07-03,17.0,1,0
1782793085,2015-08-19,2015-02-17,2015-02-24,7.0,1,0
2422995126,2015-08-19,2015-03-23,2015-04-21,29.0,1,0
7091985427,2015-08-19,2015-03-31,2015-04-13,13.0,1,0
5868139297,2015-08-19,2014-07-18,2014-08-05,18.0,1,0
8460627016,2015-08-19,2015-03-30,2015-04-14,15.0,1,0
5108315568,2015-08-19,2014-07-30,2014-08-30,31.0,1,1
5126578428,2015-08-19,2015-02-05,2015-02-26,21.0,1,0
3294533408,2015-08-19,2014-09-24,2014-10-10,16.0,1,0
5212256963,2015-08-19,2015-06-19,2015-06-26,7.0,1,0
3201754709,2015-08-19,2015-02-27,2015-03-17,18.0,1,0
1892120669,2015-08-19,2015-06-04,2015-06-26,22.0,1,0
2258471198,2015-08-19,2015-05-06,2015-05-23,17.0,1,0
2724136679,2015-08-19,2015-03-04,2015-03-19,15.0,1,0
5777469792,2015-08-19,2014-09-23,2014-10-14,21.0,1,0
1911454239,2015-08-19,2014-06-01,,444.0,0,1
3640580591,2015-08-19,2015-02-18,2015-03-10,20.0,1,0
1932568661,2015-08-19,2015-07-07,2015-07-21,14.0,1,0
6925828638,2015-08-19,2015-05-24,2015-06-12,19.0,1,0
1104389006,2015-08-19,2015-06-10,2015-07-10,30.0,1,0
2974671365,2015-08-19,2015-03-04,2015-04-21,48.0,1,1
4088430688,2015-08-19,2014-08-08,,376.0,0,1
9517700838,2015-08-19,2015-04-09,,132.0,0,1
6408292681,2015-08-19,2015-06-27,2015-07-18,21.0,1,0
4396948561,2015-08-19,2014-12-03,,259.0,0,1
5809370917,2015-08-19,2015-07-23,,27.0,0,0
1011938779,2015-08-19,2015-03-07,2015-03-11,4.0,1,0
9562149901,2015-08-19,2015-04-24,2015-05-15,21.0,1,0
5537661525,2015-08-19,2015-03-27,2015-04-03,7.0,1,0
1537018341,2015-08-19,2014-08-13,2014-09-20,38.0,1,1
7073326976,2015-08-19,2015-06-02,2015-06-08,6.0,1,0
6825768883,2015-08-19,2015-06-15,2015-07-03,18.0,1,0
